code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
T10621,3 Avenue de corbera,BOUYGUES,2014-02-25,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3814629996376824, 48.84561899972432], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3814629996376824, 'lat': 48.84561899972432}"
750281,3 Rue barbet de jouy,SFR,2022-05-13,,,,2G/3G/4G/5G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.31803099955472, 48.85498799978463], 'type': 'Point'}, 'properties': {}}","{'lon': 2.31803099955472, 'lat': 48.85498799978463}"
7510058810,3 Rue du docteur finlay,SFR,2024-06-26,,,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2870079997327037, 48.85280100031442], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2870079997327037, 'lat': 48.85280100031442}"
T15760,36 Avenue d'iena,BOUYGUES,2003-01-27,,,,,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.295142247962294, 48.86626714771784], 'type': 'Point'}, 'properties': {}}","{'lon': 2.295142247962294, 'lat': 48.86626714771784}"
00034796U5,37 B rue robert-sonia delaunay,ORANGE,,2024-12-18,2024-12-18,,3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.394863999699797, 48.85534800031708], 'type': 'Point'}, 'properties': {}}","{'lon': 2.394863999699797, 'lat': 48.85534800031708}"
757398,4 Rue du colonel driant,SFR,2023-01-13,,,,2G/3G/4G/5G,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.341264499322427, 48.863295000019576], 'type': 'Point'}, 'properties': {}}","{'lon': 2.341264499322427, 'lat': 48.863295000019576}"
75112_022_01,42 Rue montgallet,FREE MOBILE,2013-08-26,2013-11-29,,,3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3892030004672646, 48.844079999599344], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3892030004672646, 'lat': 48.844079999599344}"
T01523,43-47 Rue de la croix nivert,BOUYGUES,2024-06-21,,,,,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2983839998802162, 48.84560100040651], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2983839998802162, 'lat': 48.84560100040651}"
00034777U5,44 Avenue de la porte des poissonniers,ORANGE,2021-05-06,2021-05-06,2022-12-29,,3G/4G/5G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3524065003049723, 48.90015000022862], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3524065003049723, 'lat': 48.90015000022862}"
00080190U7,5 Rue montbrun,ORANGE,2012-02-01,2014-01-06,2022-12-26,,3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.330023499868584, 48.8293650004352], 'type': 'Point'}, 'properties': {}}","{'lon': 2.330023499868584, 'lat': 48.8293650004352}"
75116_116_03,5 Rue de lasteyrie,FREE MOBILE,2022-01-17,2022-01-17,2022-02-01,,3G/4G/5G,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.2841010003665976, 48.87141300004228], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2841010003665976, 'lat': 48.87141300004228}"
T15019,5 Rue monsieur,BOUYGUES,2013-12-01,,,,,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.316355242856138, 48.85131813995693], 'type': 'Point'}, 'properties': {}}","{'lon': 2.316355242856138, 'lat': 48.85131813995693}"
753596,5 Rue oudinot,SFR,,,,,2G/3G/4G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3188590000495366, 48.85036199955539], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3188590000495366, 'lat': 48.85036199955539}"
7510000253,50 Rue de la boetie,SFR,,,,,2G/3G/4G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3132277621951958, 48.87357514039198], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3132277621951958, 'lat': 48.87357514039198}"
75108_069_02,54 Rue de bassano,FREE MOBILE,2024-05-29,2024-05-29,2024-07-16,,3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.299850999649982, 48.871143000072024], 'type': 'Point'}, 'properties': {}}","{'lon': 2.299850999649982, 'lat': 48.871143000072024}"
00000206U8,5-6 Sq georges contenot,ORANGE,2012-12-03,2013-05-17,2021-04-15,,3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3962364999865877, 48.83721299967415], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3962364999865877, 'lat': 48.83721299967415}"
750090,6 Rue chanzy,SFR,2021-03-19,,,,2G/3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.3825340004113342, 48.85239600004072], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3825340004113342, 'lat': 48.85239600004072}"
00000020U8,61 Rue des archives,ORANGE,2012-11-28,2013-04-05,2019-09-09,,3G/4G/5G,75003,"{'type': 'Feature', 'geometry': {'coordinates': [2.3590197695997497, 48.86206412280049], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3590197695997497, 'lat': 48.86206412280049}"
75116_101_01,62 Boulevard exelmans,FREE MOBILE,2018-03-28,2018-03-28,,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2619385003975947, 48.84247800016991], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2619385003975947, 'lat': 48.84247800016991}"
T15186,64-66 Rue orfila,BOUYGUES,2013-10-01,,,,,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.3978790005072517, 48.86693100019161], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3978790005072517, 'lat': 48.86693100019161}"
7510051972,69 Boulevard brune,SFR,2022-05-31,,,,2G/3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.311596000205617, 48.82652100040342], 'type': 'Point'}, 'properties': {}}","{'lon': 2.311596000205617, 'lat': 48.82652100040342}"
00000133U7,7 Boulevard raspail,ORANGE,2013-01-07,2015-06-17,,,3G/4G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.325991500526265, 48.855203999925294], 'type': 'Point'}, 'properties': {}}","{'lon': 2.325991500526265, 'lat': 48.855203999925294}"
75106_005_08,7 Rue corneille,FREE MOBILE,2016-10-04,2016-09-30,,,3G/4G/5G,75006,"{'type': 'Feature', 'geometry': {'coordinates': [2.3391179997140905, 48.84936300039088], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3391179997140905, 'lat': 48.84936300039088}"
75113_067_07,7 Avenue de la porte d ivry,FREE MOBILE,2022-10-28,2022-10-28,2022-11-04,,3G/4G/5G,75113,"{'type': 'Feature', 'geometry': {'coordinates': [2.372256000257784, 48.81979800036137], 'type': 'Point'}, 'properties': {}}","{'lon': 2.372256000257784, 'lat': 48.81979800036137}"
753594,7 B rue de paradis,SFR,2021-04-06,,,,2G/3G/4G/5G,75010,"{'type': 'Feature', 'geometry': {'coordinates': [2.3545377794428206, 48.874502123578054], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3545377794428206, 'lat': 48.874502123578054}"
T19468,7 Rue poulletier,BOUYGUES,2017-02-28,,,,,75004,"{'type': 'Feature', 'geometry': {'coordinates': [2.3582565005876215, 48.851558999890436], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3582565005876215, 'lat': 48.851558999890436}"
T15292,71 Boulevard de vaugirard,BOUYGUES,2019-12-16,,,,,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.315466000513207, 48.84039899959959], 'type': 'Point'}, 'properties': {}}","{'lon': 2.315466000513207, 'lat': 48.84039899959959}"
00000428U7,74-80 Rue balard,ORANGE,2012-05-15,2014-01-22,2023-11-20,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2781024994094525, 48.83912099965539], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2781024994094525, 'lat': 48.83912099965539}"
75117_010_36,75 Avenue de wagram,FREE MOBILE,2022-10-07,2022-10-07,2022-12-08,,3G/4G/5G,75117,"{'type': 'Feature', 'geometry': {'coordinates': [2.298865500122842, 48.879378000043744], 'type': 'Point'}, 'properties': {}}","{'lon': 2.298865500122842, 'lat': 48.879378000043744}"
750091,76 Avenue raymond poincare,SFR,2021-04-07,,,,2G/3G/4G/5G,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.2857344995848505, 48.86879399973182], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2857344995848505, 'lat': 48.86879399973182}"
756128,80 Avenue du belvédère,SFR,2021-03-19,,,,2G/3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.407198500102053, 48.88066499989244], 'type': 'Point'}, 'properties': {}}","{'lon': 2.407198500102053, 'lat': 48.88066499989244}"
751225,8 Villa du parc de montsouris,SFR,2021-12-16,,,,2G/3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.3340329993637288, 48.82204799964866], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3340329993637288, 'lat': 48.82204799964866}"
00017184U5,80 Rue botzaris,ORANGE,2017-12-18,2018-01-11,2023-05-11,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3890230001230455, 48.87944100024167], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3890230001230455, 'lat': 48.87944100024167}"
00000023U7,81 Boulevard massena,ORANGE,2011-11-16,2013-10-14,2021-03-11,,3G/4G/5G,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.368246500339696, 48.820842000272926], 'type': 'Point'}, 'properties': {}}","{'lon': 2.368246500339696, 'lat': 48.820842000272926}"
00025152U5,96 Boulevard des batignolles,ORANGE,2021-05-10,2021-05-10,,,3G/4G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3172795002908804, 48.881663999563855], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3172795002908804, 'lat': 48.881663999563855}"
T16793,97-99 rue de la saussure,BOUYGUES,2015-06-05,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3118597749788603, 48.88736314038014], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3118597749788603, 'lat': 48.88736314038014}"
00000432U7,Place marcellin berthelot,ORANGE,2013-07-31,2014-04-10,2022-01-07,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.3456336268372717, 48.849100193428725], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3456336268372717, 'lat': 48.849100193428725}"
T10952,Rue raffet,BOUYGUES,2013-10-01,,,,,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.2641884560840406, 48.85190212759891], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2641884560840406, 'lat': 48.85190212759891}"
00029971U5,9999 route des tribunes,ORANGE,2023-02-09,2023-02-09,,,3G/4G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2301234372012364, 48.86134731805601], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2301234372012364, 'lat': 48.86134731805601}"
00000191U1,1 Rue cino del ducas,ORANGE,2012-06-27,2013-08-29,2021-01-25,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.2854375001693152, 48.88617299960124], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2854375001693152, 'lat': 48.88617299960124}"
757215,102 Rue de provence,SFR,,,,,2G/3G/4G,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.329171269249844, 48.874295134139814], 'type': 'Point'}, 'properties': {}}","{'lon': 2.329171269249844, 'lat': 48.874295134139814}"
T96965,11 Rue de lyon,BOUYGUES,2019-04-17,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3717862601829887, 48.84679111723267], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3717862601829887, 'lat': 48.84679111723267}"
7510052821,11 Rue doudeauville,SFR,2022-11-24,,,,2G/3G/4G/5G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3584679995627367, 48.88884599980233], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3584679995627367, 'lat': 48.88884599980233}"
75118_014_03,11 Rue forest,FREE MOBILE,2012-11-30,2013-11-29,,,3G/4G/5G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.329220779057873, 48.885482134303416], 'type': 'Point'}, 'properties': {}}","{'lon': 2.329220779057873, 'lat': 48.885482134303416}"
00030975U3,110 Rue saint dominique,ORANGE,,2017-09-15,2022-10-31,,3G/4G/5G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3024429999639366, 48.85856100018927], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3024429999639366, 'lat': 48.85856100018927}"
T35656,118 Rue de lagny,BOUYGUES,2021-06-16,,,,,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.413718999886375, 48.849084000151066], 'type': 'Point'}, 'properties': {}}","{'lon': 2.413718999886375, 'lat': 48.849084000151066}"
75118_042_01,13 Rue des abbesses,FREE MOBILE,2016-09-22,2016-10-04,,,3G/4G/5G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.338582499648716, 48.8840669996702], 'type': 'Point'}, 'properties': {}}","{'lon': 2.338582499648716, 'lat': 48.8840669996702}"
75119_057_04,132 Avenue jean jaurès,FREE MOBILE,2020-07-16,2020-07-16,,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.385076500144555, 48.886514999904044], 'type': 'Point'}, 'properties': {}}","{'lon': 2.385076500144555, 'lat': 48.886514999904044}"
T15721,133 Avenue de wagram,BOUYGUES,1999-12-16,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.302015500654254, 48.88369800002767], 'type': 'Point'}, 'properties': {}}","{'lon': 2.302015500654254, 'lat': 48.88369800002767}"
757309,134 Rue du chevalleret,SFR,,,,,2G/3G/4G,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.368507500223188, 48.8339189999], 'type': 'Point'}, 'properties': {}}","{'lon': 2.368507500223188, 'lat': 48.8339189999}"
T15730,14 Avenue de la grande armée,BOUYGUES,2002-12-10,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.2918905006718218, 48.87513899986563], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2918905006718218, 'lat': 48.87513899986563}"
753614,14 Rue soufflot,SFR,2021-12-13,,,,2G/3G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.3431167501281402, 48.84703412910157], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3431167501281402, 'lat': 48.84703412910157}"
75115_095_01,145 Rue saint-charles,FREE MOBILE,2021-09-09,2021-09-09,2021-09-23,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2826727222315637, 48.84311915309636], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2826727222315637, 'lat': 48.84311915309636}"
751322,15 Rue d'ulm,SFR,,,,,2G/3G/4G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.345285748144936, 48.84420812806409], 'type': 'Point'}, 'properties': {}}","{'lon': 2.345285748144936, 'lat': 48.84420812806409}"
75119_030_05,15 Rue henri turot,FREE MOBILE,2016-11-17,2016-11-21,2022-06-21,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3736042882730373, 48.876752116163665], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3736042882730373, 'lat': 48.876752116163665}"
75120_017_02,150 Rue belleville,FREE MOBILE,2013-12-13,2013-12-13,2024-05-02,,3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.3906924995241003, 48.87538199957021], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3906924995241003, 'lat': 48.87538199957021}"
75119_002_01,154 Rue d'aubervilliers,FREE MOBILE,2013-09-26,2013-09-26,2022-02-22,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.370028500457851, 48.89348099979568], 'type': 'Point'}, 'properties': {}}","{'lon': 2.370028500457851, 'lat': 48.89348099979568}"
750971,16 B rue caulaincourt,SFR,2024-04-25,,,,2G/3G/4G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3330249995458834, 48.88685699975483], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3330249995458834, 'lat': 48.88685699975483}"
00034766U5,16 B rue de la justice,ORANGE,,2023-12-05,2023-12-05,,3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.407310999719559, 48.86951400005634], 'type': 'Point'}, 'properties': {}}","{'lon': 2.407310999719559, 'lat': 48.86951400005634}"
75115_005_06,17 Boulevard garibaldi,FREE MOBILE,2014-12-30,2014-12-30,2022-06-30,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.3038878124891595, 48.84746455982182], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3038878124891595, 'lat': 48.84746455982182}"
751186,17 Rue de l'annonciation,SFR,2022-11-24,,,,2G/3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2797269993225777, 48.85631100003918], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2797269993225777, 'lat': 48.85631100003918}"
00029507U5,17 Rue du colisée,ORANGE,2016-05-11,2016-05-11,2023-01-23,,3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3081490002776524, 48.87073800016264], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3081490002776524, 'lat': 48.87073800016264}"
T16343,17-19-21 Rue traversière,BOUYGUES,2007-09-13,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3715450004630467, 48.84643799992654], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3715450004630467, 'lat': 48.84643799992654}"
T15863,18 Rue ernest cresson,BOUYGUES,2001-04-02,,,,,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.328907500119586, 48.83283000037809], 'type': 'Point'}, 'properties': {}}","{'lon': 2.328907500119586, 'lat': 48.83283000037809}"
75114_005_02,18 Rue jonquoy,FREE MOBILE,2015-10-09,2015-10-09,2022-04-07,,3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.3154615001942536, 48.8293380004036], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3154615001942536, 'lat': 48.8293380004036}"
75120_084_01,186 Boulevard de charonne,FREE MOBILE,2023-06-20,2023-06-20,2023-07-04,,3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.3927382781146673, 48.857753109042186], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3927382781146673, 'lat': 48.857753109042186}"
00007799U5,19 Rue beaubourg,ORANGE,2013-12-12,2013-12-17,,,3G/4G,75004,"{'type': 'Feature', 'geometry': {'coordinates': [2.3533092664735293, 48.86112812462558], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3533092664735293, 'lat': 48.86112812462558}"
75119_019_14,19 Rue david d'angers,FREE MOBILE,2019-12-20,2019-12-20,2023-02-22,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3907824993310602, 48.882626999732366], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3907824993310602, 'lat': 48.882626999732366}"
75111_001_21,191 Rue du faubourg saint-antoine,FREE MOBILE,2018-12-06,2019-05-02,,,3G/4G/5G,75010,"{'type': 'Feature', 'geometry': {'coordinates': [2.3818725001509726, 48.85053300032051], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3818725001509726, 'lat': 48.85053300032051}"
00016147U5,19-29 Boulevard serrurier,ORANGE,2011-06-06,2013-08-12,2020-12-14,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.4046244997164394, 48.877865999811064], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4046244997164394, 'lat': 48.877865999811064}"
T15798,197 Boulevard voltaire,BOUYGUES,2000-02-17,,,,,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.3886089996394886, 48.85300800041755], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3886089996394886, 'lat': 48.85300800041755}"
75117_062_01,2 Place de la porte maillot,FREE MOBILE,2018-02-16,2018-02-13,2024-06-19,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.2838040006664, 48.87860399997885], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2838040006664, 'lat': 48.87860399997885}"
T41629,2 Rte de la ferme,BOUYGUES,2023-08-02,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.46370949943596, 48.826889999857926], 'type': 'Point'}, 'properties': {}}","{'lon': 2.46370949943596, 'lat': 48.826889999857926}"
00030997U5,2 Rue du colonel deport,ORANGE,2017-06-13,2017-06-01,2023-10-20,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2557645000534077, 48.83928300014539], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2557645000534077, 'lat': 48.83928300014539}"
T15965,20 Boulevard des italiens,BOUYGUES,2017-08-04,,,,,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.3370525002599933, 48.87163800006235], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3370525002599933, 'lat': 48.87163800006235}"
751306,20 Villa saint ange,SFR,,,,,2G/3G/4G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.328043499564209, 48.89722500016305], 'type': 'Point'}, 'properties': {}}","{'lon': 2.328043499564209, 'lat': 48.89722500016305}"
T36137,206 Rue faubourg st-martin,BOUYGUES,2020-10-07,,,,,75010,"{'type': 'Feature', 'geometry': {'coordinates': [2.363481000322706, 48.879548999838214], 'type': 'Point'}, 'properties': {}}","{'lon': 2.363481000322706, 'lat': 48.879548999838214}"
00000418U7,21 Rue jasmin,ORANGE,2012-12-18,2013-04-29,2020-12-30,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.266613999728402, 48.85189200001281], 'type': 'Point'}, 'properties': {}}","{'lon': 2.266613999728402, 'lat': 48.85189200001281}"
751132,21 Rue balzac,SFR,2021-03-19,,,,2G/3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3022477594760336, 48.87527614443453], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3022477594760336, 'lat': 48.87527614443453}"
T15134,21 Place du marché st honoré,BOUYGUES,2007-11-22,,,,,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.3310585002999447, 48.86678699967433], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3310585002999447, 'lat': 48.86678699967433}"
T16790,212 Rue lecourbe,BOUYGUES,2016-11-04,,,,,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2946112245520425, 48.840248148387815], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2946112245520425, 'lat': 48.840248148387815}"
751155,213 Boulevard saint germain,SFR,,,,,2G/3G/4G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3247450001087477, 48.85663500019], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3247450001087477, 'lat': 48.85663500019}"
T59485,2-14 Rue gérard de nerval,BOUYGUES,2024-11-28,,,,,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3348115005951446, 48.900248999870755], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3348115005951446, 'lat': 48.900248999870755}"
T15719,22 Avenue de la porte d'asnieres,BOUYGUES,2000-01-04,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.303372774997348, 48.8909721440915], 'type': 'Point'}, 'properties': {}}","{'lon': 2.303372774997348, 'lat': 48.8909721440915}"
00035190U5,231 Rue saint-honoré,ORANGE,2023-06-12,2023-06-12,2023-06-12,,3G/4G/5G,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.329199999398963, 48.866210999562085], 'type': 'Point'}, 'properties': {}}","{'lon': 2.329199999398963, 'lat': 48.866210999562085}"
T10640,24-26 rue sibuet,BOUYGUES,1996-05-31,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.4024374997307043, 48.84301799990202], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4024374997307043, 'lat': 48.84301799990202}"
75104_016_01,25 Boulevard beaumarchais,FREE MOBILE,2018-12-13,2018-12-14,,,3G/4G/5G,75004,"{'type': 'Feature', 'geometry': {'coordinates': [2.3683185006365064, 48.855465000379425], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3683185006365064, 'lat': 48.855465000379425}"
T15789,26 Avenue philippe auguste,BOUYGUES,2007-10-05,,,,,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.394499499479272, 48.85103699954976], 'type': 'Point'}, 'properties': {}}","{'lon': 2.394499499479272, 'lat': 48.85103699954976}"
75112_014_01,1 Rue libourne,FREE MOBILE,2013-04-17,2013-09-27,2022-07-28,,3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3872049999226777, 48.83147099964331], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3872049999226777, 'lat': 48.83147099964331}"
00000009U8,10 Rue bernard buffet,ORANGE,2014-06-03,2014-05-26,2022-11-24,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.316321000604183, 48.8918699998701], 'type': 'Point'}, 'properties': {}}","{'lon': 2.316321000604183, 'lat': 48.8918699998701}"
T15229,10 Rue du chevalier saint georges,BOUYGUES,2002-07-23,,,,,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.3250555002981828, 48.868470000230104], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3250555002981828, 'lat': 48.868470000230104}"
751240,101 Boulevard raspail,SFR,2021-03-19,,,,2G/3G/4G/5G,75006,"{'type': 'Feature', 'geometry': {'coordinates': [2.3285952432562294, 48.84635913486584], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3285952432562294, 'lat': 48.84635913486584}"
00000055U8,109 Boulevard mortier,ORANGE,2012-02-21,2013-09-19,2023-11-22,,3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.408447796829874, 48.87177510222262], 'type': 'Point'}, 'properties': {}}","{'lon': 2.408447796829874, 'lat': 48.87177510222262}"
751218,11 Rue henry de bournazel,SFR,2021-07-28,,,,2G/3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.3138099995728765, 48.824918999800424], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3138099995728765, 'lat': 48.824918999800424}"
757262,111 Avenue de la bourdonnais,SFR,2021-04-07,,,,2G/3G/4G/5G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3044994993815338, 48.855023999624386], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3044994993815338, 'lat': 48.855023999624386}"
75103_010_10,112 Boulevard de sébastopol,FREE MOBILE,2019-08-20,2019-08-23,2022-09-28,,3G/4G/5G,75003,"{'type': 'Feature', 'geometry': {'coordinates': [2.3541749995011596, 48.868758000298286], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3541749995011596, 'lat': 48.868758000298286}"
7510058055,12 Rue cépré,SFR,2023-11-15,,,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.3039100002235022, 48.84657299959174], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3039100002235022, 'lat': 48.84657299959174}"
751136,120 Rue de lyon,SFR,2021-06-16,,,,2G/3G/4G/5G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3701617636950734, 48.85155211833219], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3701617636950734, 'lat': 48.85155211833219}"
